"index"	"date"	"open"	"closed"	"difference"
2698	Jul 26 2010	1158.00	1158.00	0
2699	Jul 22 2010	1187.70	1187.70	0
2700	Jul 21 2010	1195.50	1195.50	0
2701	Jul 20 2010	1191.60	1191.60	0
2702	Jul 19 2010	1191.50	1191.50	0
2703	Jul 15 2010	1188.00	1188.00	0
2704	Jul 14 2010	1208.10	1208.10	0
2705	Jul 13 2010	1212.00	1206.80	5.2
2706	Jul 12 2010	1213.30	1213.30	0
2707	Jul 08 2010	1209.60	1209.60	0
2708	Jul 07 2010	1195.80	1195.80	0
2709	Jul 06 2010	1198.60	1198.60	0
2710	Jul 01 2010	1201.40	1207.40	-6
2711	Jun 30 2010	1206.30	1206.30	0
2712	Jun 29 2010	1245.50	1245.50	0
2713	Jun 28 2010	1242.00	1242.00	0
2714	Jun 24 2010	1246.70	1255.80	-9.1
2715	Jun 23 2010	1236.40	1245.50	-9.1
2716	Jun 22 2010	1233.90	1234.10	-0.2
2717	Jun 21 2010	1239.90	1239.90	0
2718	Jun 17 2010	1247.70	1257.20	-9.5
2719	Jun 16 2010	1233.90	1247.50	-13.6
2720	Jun 15 2010	1229.30	1229.30	0
2721	Jun 14 2010	1222.60	1233.20	-10.6
2722	Jun 10 2010	1228.90	1228.90	0
2723	Jun 09 2010	1232.80	1220.80	12
2724	Jun 08 2010	1237.00	1228.50	8.5
2725	Jun 07 2010	1241.50	1244.00	-2.5
2726	Jun 03 2010	1207.60	1216.20	-8.6
2727	Jun 02 2010	1208.30	1208.30	0
2728	Jun 01 2010	1220.60	1220.60	0
2729	May 27 2010	1210.40	1212.20	-1.8
2730	May 26 2010	1211.70	1211.90	-0.2
2731	May 25 2010	1213.30	1213.30	0
2732	May 24 2010	1197.80	1197.80	0
2733	May 20 2010	1175.70	1175.70	0
2734	May 19 2010	1187.80	1187.80	0
2735	May 18 2010	1192.60	1192.60	0
2736	May 17 2010	1214.30	1214.30	0
2737	May 13 2010	1227.40	1227.40	0
2738	May 12 2010	1235.30	1228.80	6.5
2739	May 11 2010	1242.70	1242.70	0
2740	May 10 2010	1219.90	1219.90	0
2741	May 06 2010	1210.00	1210.00	0
2742	May 05 2010	1196.90	1196.90	0
2743	May 04 2010	1174.60	1174.60	0
2744	May 03 2010	1168.60	1168.60	0
2745	Apr 29 2010	1180.10	1180.10	0
2746	Apr 28 2010	1168.40	1168.40	0
2747	Apr 27 2010	1171.30	1171.30	0
2748	Apr 26 2010	1152.80	1161.70	-8.9
2749	Apr 22 2010	1153.10	1153.10	0
2750	Apr 21 2010	1142.30	1142.30	0
2751	Apr 20 2010	1148.20	1148.20	0
2752	Apr 19 2010	1138.60	1138.60	0
2753	Apr 15 2010	1136.30	1136.30	0
2754	Apr 14 2010	1157.50	1159.70	-2.2
2755	Apr 13 2010	1159.00	1159.00	0
2756	Apr 12 2010	1152.80	1152.80	0
2757	Apr 08 2010	1161.10	1161.10	0
2758	Apr 07 2010	1152.20	1152.20	0
2759	Apr 06 2010	1152.30	1152.30	0
2760	Apr 05 2010	1130.80	1135.10	-4.3
2761	Mar 31 2010	1125.10	1125.10	0
2762	Mar 30 2010	1103.10	1113.30	-10.2
2763	Mar 29 2010	1109.70	1104.50	5.2
2764	Mar 25 2010	1104.20	1104.20	0
2765	Mar 24 2010	1092.70	1092.70	0
2766	Mar 23 2010	1088.60	1088.60	0
2767	Mar 22 2010	1103.50	1103.50	0
2768	Mar 18 2010	1107.40	1107.40	0
2769	Mar 17 2010	1127.40	1127.40	0
2770	Mar 16 2010	1124.00	1124.00	0
2771	Mar 15 2010	1122.20	1122.20	0
2772	Mar 12 2010	1101.50	1101.50	0
2773	Mar 11 2010	1108.00	1108.00	0
2774	Mar 10 2010	1107.80	1107.80	0
2775	Mar 09 2010	1122.00	1122.00	0
2776	Mar 08 2010	1123.60	1123.60	0
2777	Mar 05 2010	1134.80	1134.80	0
2778	Mar 04 2010	1132.60	1132.60	0
2779	Mar 03 2010	1142.70	1142.70	0
2780	Mar 02 2010	1136.90	1136.90	0
2781	Mar 01 2010	1119.30	1117.80	1.5
2782	Feb 26 2010	1106.80	1118.30	-11.5
2783	Feb 25 2010	1107.80	1107.80	0
2784	Feb 24 2010	1096.50	1096.50	0
2785	Feb 23 2010	1116.40	1102.70	13.7
2786	Feb 22 2010	1112.60	1112.60	0
2787	Feb 19 2010	1121.30	1121.30	0
2788	Feb 18 2010	1118.00	1118.00	0
2789	Feb 17 2010	1119.50	1119.50	0
2790	Feb 16 2010	1119.30	1119.30	0
2791	Feb 12 2010	1089.50	1089.50	0
2792	Feb 11 2010	1076.80	1094.20	-17.4
2793	Feb 10 2010	1075.80	1075.80	0
2794	Feb 09 2010	1076.70	1076.70	0
2795	Feb 08 2010	1065.70	1065.70	0
2796	Feb 05 2010	1052.20	1052.20	0
2797	Feb 04 2010	1110.00	1062.40	47.6
2798	Feb 03 2010	1115.80	1111.40	4.4
2799	Feb 02 2010	1117.40	1117.40	0
2800	Feb 01 2010	1081.00	1104.30	-23.3
2801	Jan 29 2010	1085.00	1083.00	2
2802	Jan 28 2010	1087.80	1083.60	4.2
2803	Jan 27 2010	1084.40	1084.40	0
2804	Jan 26 2010	1097.90	1097.90	0
2805	Jan 25 2010	1095.20	1095.20	0
2806	Jan 22 2010	1089.20	1089.20	0
2807	Jan 21 2010	1102.70	1102.70	0
2808	Jan 20 2010	1123.30	1112.30	11
2809	Jan 19 2010	1139.70	1139.70	0
2810	Jan 15 2010	1132.80	1130.10	2.7
2811	Jan 14 2010	1137.00	1142.60	-5.6
2812	Jan 13 2010	1136.40	1136.40	0
2813	Jan 12 2010	1128.90	1128.90	0
2814	Jan 11 2010	1150.70	1150.70	0
2815	Jan 08 2010	1138.20	1138.20	0
2816	Jan 07 2010	1133.10	1133.10	0
2817	Jan 06 2010	1135.90	1135.90	0
2818	Jan 05 2010	1118.10	1118.10	0
2819	Jan 04 2010	1117.70	1117.70	0
2820	Dec 31 2009	1095.20	1095.20	0
2821	Dec 30 2009	1091.50	1091.50	0
2822	Dec 29 2009	1097.00	1097.00	0
2823	Dec 28 2009	1107.20	1107.20	0
2824	Dec 24 2009	1092.00	1104.10	-12.1
2825	Dec 23 2009	1093.30	1093.30	0
2826	Dec 22 2009	1095.30	1086.00	9.3
2827	Dec 21 2009	1095.40	1095.40	0
2828	Dec 18 2009	1110.80	1110.80	0
2829	Dec 17 2009	1141.50	1106.80	34.7
2830	Dec 16 2009	1125.70	1135.50	-9.8
2831	Dec 15 2009	1127.90	1122.40	5.5
2832	Dec 14 2009	1123.30	1123.30	0
2833	Dec 11 2009	1132.70	1119.40	13.3
2834	Dec 10 2009	1125.70	1125.70	0
2835	Dec 09 2009	1130.30	1120.40	9.9
2836	Dec 08 2009	1159.50	1142.80	16.7
2837	Dec 07 2009	1157.60	1163.40	-5.8
2838	Dec 04 2009	1207.80	1168.80	39
2839	Dec 03 2009	1218.00	1217.40	0.6
2840	Dec 02 2009	1196.40	1212.00	-15.6
2841	Dec 01 2009	1181.00	1199.10	-18.1
2842	Nov 30 2009	1179.90	1181.10	-1.2
2843	Nov 27 2009	1190.80	1174.20	16.6
2844	Nov 25 2009	1186.90	1186.90	0
2845	Nov 24 2009	1165.50	1165.50	0
2846	Nov 23 2009	1164.30	1164.30	0
2847	Nov 20 2009	1146.40	1146.40	0
2848	Nov 19 2009	1141.40	1141.40	0
2849	Nov 18 2009	1140.70	1140.70	0
2850	Nov 17 2009	1138.80	1138.80	0
2851	Nov 16 2009	1138.60	1138.60	0
2852	Nov 13 2009	1116.10	1116.10	0
2853	Nov 12 2009	1106.00	1106.00	0
2854	Nov 11 2009	1114.00	1114.00	0
2855	Nov 10 2009	1100.90	1101.90	-1
2856	Nov 09 2009	1098.60	1100.80	-2.2
2857	Nov 06 2009	1095.10	1095.10	0
2858	Nov 05 2009	1088.70	1088.70	0
2859	Nov 04 2009	1086.70	1086.70	0
2860	Nov 03 2009	1084.30	1084.30	0
2861	Nov 02 2009	1053.40	1053.40	0
2862	Oct 29 2009	1045.50	1039.70	5.8
2863	Oct 28 2009	1035.20	1046.40	-11.2
2864	Oct 27 2009	1042.10	1029.90	12.2
2865	Oct 26 2009	1039.50	1034.70	4.8
2866	Oct 22 2009	1063.80	1055.60	8.2
2867	Oct 21 2009	1061.20	1057.80	3.4
2868	Oct 20 2009	1053.70	1063.70	-10
2869	Oct 19 2009	1065.50	1057.80	7.7
2870	Oct 15 2009	1051.50	1050.70	0.8
2871	Oct 14 2009	1062.20	1049.80	12.4
2872	Oct 13 2009	1064.00	1063.90	0.1
2873	Oct 12 2009	1064.00	1064.20	-0.2
